    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    3    4         9    8        0.03630        254.061        253.898           -9.959          -10.299         0.14142E+00    0.14142E+00    0
    4    5        10    9        0.02251        252.240        252.338           -9.972          -10.198         0.14142E+00    0.14142E+00    0
    5    6        11   10        0.00793        250.126        250.157           -9.990          -10.088         0.14142E+00    0.14142E+00    0
    6    7        12   11        0.05481        247.899        247.628          -10.006          -10.039         0.14142E+00    0.14142E+00    0
    7    8        13   12        0.09064        246.745        246.299          -10.009           -9.991         0.14142E+00    0.14142E+00    0
    8    9        14   13        0.07283        245.556        245.199           -9.999           -9.936         0.14142E+00    0.14142E+00    0
    9   10        15   14        0.05884        244.687        244.974           -9.992           -9.882         0.14142E+00    0.14142E+00    0
   10   11        16   15        0.15495        241.275        242.024          -10.009           -9.913         0.14142E+00    0.14142E+00    0
   11   12        17   16        0.19679        230.207        231.115          -10.054          -10.011         0.14142E+00    0.14142E+00    0
   12   13        18   17        0.16210        225.473        226.206          -10.087          -10.081         0.14142E+00    0.14142E+00    0
   13   14        19   18        0.14975        218.283        218.938          -10.127          -10.159         0.14142E+00    0.14142E+00    0
   14   15        20   19        0.17316        208.873        209.597          -10.184          -10.295         0.14142E+00    0.14142E+00    0
   15   16        21   20        0.10178        195.074        195.468          -10.252          -10.512         0.14142E+00    0.14142E+00    0
   16   17        22   21        0.03672        182.855        182.746          -10.338          -10.773         0.14142E+00    0.14142E+00    0
   17   18        23   22        0.11867        166.868        166.486          -10.425          -11.070         0.14142E+00    0.14142E+00    0
   18   19        24   23        0.52337        154.013        152.411          -10.527          -11.179         0.14142E+00    0.14142E+00    0
    1    2         8    7        0.22471        255.720        254.576           -9.973          -10.318         0.14142E+00    0.14142E+00    0
    2    3         9    8        0.20368        253.810        252.782           -9.993          -10.387         0.14142E+00    0.14142E+00    0
    3    4        10    9        0.14629        248.116        247.396          -10.021          -10.370         0.14142E+00    0.14142E+00    0
    4    5        11   10        0.09610        245.214        244.747          -10.050          -10.297         0.14142E+00    0.14142E+00    0
    5    6        12   11        0.15853        239.464        238.706          -10.082          -10.254         0.14142E+00    0.14142E+00    0
    6    7        13   12        0.21100        235.762        234.769          -10.094          -10.224         0.14142E+00    0.14142E+00    0
