    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    3    4         9    8        0.47893         40.617         40.228          -12.706          -12.444         0.14142E+00    0.14178E+00    1
    4    5        10    9        0.48920         36.315         36.672          -12.738          -12.442         0.14142E+00    0.14142E+00    0
    5    6        11   10        0.87173         32.690         33.265          -12.404          -12.195         0.14142E+00    0.14142E+00    0
    6    7        12   11        0.71420         69.705         68.451          -10.481          -10.555         0.14142E+00    0.15943E+00    1
    7    8        13   12        1.01304        115.116        112.411           -9.698           -9.804         0.14142E+00    0.15323E+00    1
    8    9        14   13        0.40756        110.845        111.753           -9.760           -9.791         0.14142E+00    0.14142E+00    0
    9   10        15   14        0.12115        105.252        105.507           -9.826           -9.841         0.14142E+00    0.14142E+00    0
   10   11        16   15        0.21961        102.562        103.014           -9.855           -9.860         0.14142E+00    0.14142E+00    0
   11   12        17   16        0.25323        101.317        101.831           -9.889           -9.917         0.14142E+00    0.14142E+00    0
   12   13        18   17        0.11880        100.531        100.770           -9.971          -10.040         0.14142E+00    0.14142E+00    0
   13   14        19   18        0.06738        100.324        100.189          -10.117          -10.221         0.14142E+00    0.14142E+00    0
   14   15        20   19        0.09451        100.045         99.856          -10.299          -10.424         0.14142E+00    0.14142E+00    0
   15   16        21   20        0.03018         99.908         99.968          -10.458          -10.552         0.14142E+00    0.14142E+00    0
   16   17        22   21        0.03378         99.864         99.797          -10.524          -10.603         0.14142E+00    0.14142E+00    0
   17   18        23   22        0.18930        100.008         99.630          -10.461          -10.558         0.14142E+00    0.14142E+00    0
   18   19        24   23        0.16976        100.096         99.757          -10.305          -10.468         0.14142E+00    0.14142E+00    0
    1    2         8    7        0.31217         40.150         40.401          -12.523          -12.171         0.14142E+00    0.14142E+00    0
    2    3         9    8        1.09526         46.834         45.682          -12.418          -12.243         0.14142E+00    0.15084E+00    1
    3    4        10    9        1.04233         46.817         45.542          -12.412          -12.308         0.14142E+00    0.16271E+00    1
    4    5        11   10        0.29035         39.996         39.745          -12.505          -12.321         0.14142E+00    0.14733E+00    1
    5    6        12   11        1.80029         31.838         33.005          -12.471          -12.188         0.14142E+00    0.14142E+00    0
    6    7        13   12        0.59900         67.015         66.047          -10.493          -10.567         0.14142E+00    0.15588E+00    1
    7    8        14   13        1.48538        116.151        111.809           -9.633           -9.786         0.14142E+00    0.16016E+00    1
    8    9        15   14        0.15940        113.095        113.456           -9.682           -9.775         0.14142E+00    0.14142E+00    0
    9   10        16   15        0.56011        106.863        108.067           -9.762           -9.799         0.14142E+00    0.14142E+00    0
   10   11        17   16        0.43241        103.654        104.554           -9.843           -9.881         0.14142E+00    0.14142E+00    0
   11   12        18   17        0.18535        102.061        102.440           -9.981          -10.032         0.14142E+00    0.14142E+00    0
   12   13        19   18        0.04945        101.160        101.260          -10.194          -10.242         0.14142E+00    0.14142E+00    0
