    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   45   24        49   30        0.48394          5.973          5.830           -2.959           -2.928         0.22361E+00    0.22361E+00    0
   46   26        49   30        0.69775          6.932          7.178           -2.741           -2.802         0.22361E+00    0.22361E+00    0
   47   28        49   30        0.42736         10.162          9.947           -2.693           -2.677         0.22361E+00    0.22361E+00    0
   43   23        49   31        1.16103          6.639          7.053           -2.973           -3.039         0.22361E+00    0.22809E+00    1
   45   24        49   31        0.78286          5.126          4.930           -3.052           -3.051         0.22361E+00    0.22361E+00    0
   46   26        49   31        1.06641          5.493          5.795           -2.946           -2.923         0.22361E+00    0.22395E+00    1
   47   28        49   31        0.32834          7.569          7.446           -2.808           -2.810         0.22361E+00    0.22361E+00    0
   43   23        49   32        0.50802          6.265          6.426           -3.150           -3.159         0.22361E+00    0.22361E+00    0
   45   24        49   32        1.24269          3.947          4.249           -3.257           -3.186         0.22361E+00    0.24363E+00    1
   46   26        49   32        0.87394          4.584          4.793           -2.944           -3.061         0.22361E+00    0.22601E+00    1
   47   28        49   32        0.75352          5.568          5.782           -2.834           -2.968         0.22361E+00    0.22361E+00    0
   43   23        49   33        0.77192          5.638          5.864           -3.338           -3.291         0.22361E+00    0.22546E+00    1
   45   24        49   33        1.15829          3.459          3.689           -3.417           -3.335         0.22361E+00    0.23621E+00    1
   46   26        49   33        0.01451          4.008          4.005           -3.218           -3.216         0.22361E+00    0.22361E+00    0
   47   28        49   33        1.42771          4.139          4.572           -2.995           -3.152         0.22361E+00    0.26414E+00    1
   43   23        49   35        0.21081          4.938          4.990           -3.642           -3.568         0.22361E+00    0.22378E+00    1
   45   24        49   35        1.69253          2.514          2.910           -3.684           -3.649         0.22361E+00    0.29401E+00    1
   46   26        49   35        0.93474          2.823          2.973           -3.451           -3.552         0.22361E+00    0.23592E+00    1
   47   28        49   35        1.25284          2.858          3.131           -3.406           -3.564         0.22361E+00    0.27019E+00    1
   43   23        49   36        1.22812          4.317          4.645           -3.886           -3.710         0.22361E+00    0.24414E+00    1
   45   24        49   36        0.69248          2.531          2.631           -3.853           -3.810         0.22361E+00    0.23628E+00    1
   46   26        49   36        0.12753          2.640          2.623           -3.602           -3.728         0.22361E+00    0.23102E+00    1
