38230   19145	0 << numel, numnp
       1        7789        9914       13431            1       1
       2       15579         991        5175            2       1
       3        4179        7858       13230            3       1
       4       16943         958        7822            4       1
       5       17081        2571        6990            5       1
       6        3552       12022        7618            6       1
       7        2978       16604        6679            7       1
       8        2325        6531       16417            8       1
       9       16417        6531        6661            9       1
      10        7031        2763       18411           10       1
      11        6642       18555        6804           11       1
      12       18555         798        6804           12       1
      13       15846        6608          89           13       1
      14       16676        6725        6141           14       1
      15        2527       17850        6758           15       1
      16       16604        7034        6679           16       1
      17        5597       12865        6984           17       1
      18       12865        2039        6984           18       1
      19        6732       17081        6990           19       1
      20       15477          88        6465           20       1
      21        2175        6452       17481           21       1
      22       17758        6830        6086           22       1
      23       13218        2293        7420           23       1
      24       17523        5519        2656           24       1
      25       18411        2763        6077           25       1
      26        2905       16676        6141           26       1
      27       17850        7073        6758           27       1
      28        2174       18101        6451           28       1
      29        2134        6257       18027           29       1
      30       16949        7018        6537           30       1
      31        6017        8363       15232           31       1
      32       15828        8820        2446           32       1
      33        6123       14356        6997           33       1
      34       14356        2122        6997           34       1
      35        7291        2586       18345           35       1
      36       18453        1938        6419           36       1
      37        5751       13218        7420           37       1
      38        7062        1938       18453           38       1
      39       17035        2411        6024           39       1
      40       17508        2617        7265           40       1
      41        6607        6608       15846           41       1
      42        6464       15477        6465           42       1
      43        2221       17758        6086           43       1
      44        6695        2411       17035           44       1
      45        1952       16949        6537           45       1
      46       17886        5936        6876           46       1
      47       17407       11823        1122           47       1
      48       17738         927        7487           48       1
      49       16760        1465        5533           49       1
      50       17873        2477        7714           50       1
      51        4815       11460       11247           51       1
      52       12596        8162        1612           52       1
      53        7396        1080       15827           53       1
      54       15483        6725         385           54       1
      55        6141        6725       15483           55       1
      56       11092        9182       13124           56       1
      57       18434        9116         658           57       1
      58       14386        8074        6057           58       1
      59       16962        7601        6572           59       1
      60       17396        6905        6710           60       1
      61       17862        2519        7021           61       1
      62       11985        7831        1626           62       1
      63        5435        7831       11985           63       1
