    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   61   57        46   50        0.03123         75.902         75.882          -15.600          -14.709         0.17321E+00    0.17321E+00    0
   61   57        47   51        0.25158         66.179         65.693          -16.300          -14.784         0.17321E+00    0.17321E+00    0
   62   58        46   50        0.08804         95.656         95.405          -14.600          -14.391         0.17321E+00    0.17321E+00    0
   62   58        47   51        0.40209         83.100         82.106          -15.200          -14.475         0.17321E+00    0.17321E+00    0
   63   59        46   50        0.04521        100.246        100.382          -13.800          -13.659         0.17321E+00    0.17321E+00    0
   63   59        47   51        0.28059         86.651         85.931          -14.800          -13.762         0.17321E+00    0.17321E+00    0
   64   60        46   50        0.12641        109.358        109.771          -12.800          -13.110         0.17321E+00    0.17321E+00    0
   64   60        47   51        0.18487         94.410         93.876          -13.100          -13.229         0.17321E+00    0.17502E+00    1
   65   61         2    6        0.33541        508.757        503.260          -18.100          -18.794         0.17321E+00    0.18005E+00    1
   65   61        46   50        0.04572        115.976        115.823          -13.000          -12.510         0.17321E+00    0.17593E+00    1
   65   61        47   51        0.32603        100.015         98.984          -13.800          -12.626         0.17321E+00    0.17902E+00    1
   66   62        46   50        0.48973        119.837        117.782          -11.300          -12.002         0.17321E+00    0.18796E+00    1
   66   62        47   51        0.72145        103.335        100.696          -11.800          -12.104         0.17321E+00    0.18937E+00    1
   67   63         2    6        0.26053        207.187        205.419          -16.900          -17.811         0.17321E+00    0.18169E+00    1
   67   63        46   50        0.06058        110.926        111.107          -11.000          -11.878         0.17321E+00    0.17518E+00    1
   67   63        47   51        0.23912         96.076         95.372          -11.700          -11.969         0.17321E+00    0.17543E+00    1
   68   64        47   51        0.31915         81.044         80.253          -12.700          -12.194         0.17321E+00    0.17555E+00    1
   69   65         1    5        1.25138         86.455         85.084          -52.900          -19.524         0.17321E+00    0.17321E+00    0
   71   67         2    6        1.25863         31.781         32.985          -28.800          -21.285         0.17321E+00    0.17321E+00    0
   71   67        47   51        0.34238         25.405         25.656          -12.200          -15.055         0.17321E+00    0.17321E+00    0
   73   69        47   51        0.29846         27.432         27.604          -22.100          -15.559         0.17321E+00    0.17321E+00    0
   77   73        47   51        0.42644         28.482         28.842          -16.400          -13.783         0.17321E+00    0.17321E+00    0
    9    5         2    6        0.35765         89.471         90.328          -15.700          -20.455         0.17321E+00    0.17321E+00    0
    5    9         3    7        0.09683        170.519        170.859          -17.100          -14.950         0.17321E+00    0.17321E+00    0
    4    8         3    7        0.11284        189.635        190.216          -14.600          -16.012         0.17321E+00    0.17321E+00    0
