140
1	1	2	4	3	10.53153738559232	-9.957573
2	2	3	5	4	10.886640627701013	-9.905481
3	3	4	6	5	8.983168931971719	-10.22242
4	4	5	7	6	6.4964835194337525	-10.601627
5	5	6	8	7	6.502284641615021	-10.601517
6	6	7	9	8	8.987154588561086	-10.222029
7	7	8	10	9	10.887042112232104	-9.904559
8	8	9	11	10	10.498601678459856	-9.956034
9	9	10	12	11	10.333710952638006	-9.980874
10	10	11	13	12	10.280474363335957	-9.988436
11	11	12	14	13	10.246415157981954	-9.989955
12	12	13	15	14	10.25080635352515	-9.988314
13	13	14	16	15	10.241843898157235	-9.98464
14	14	15	17	16	10.244621580357899	-9.980851
15	15	16	18	17	10.24431009519389	-9.979688
16	16	17	19	18	10.242684421605306	-9.981319
17	17	18	20	19	10.240160259499872	-9.982972
18	18	19	21	20	10.238859132159872	-9.983046
19	19	20	22	21	10.237991452609984	-9.98156
20	20	21	23	22	10.247791727500497	-9.980157
21	21	22	24	23	10.25433788354607	-9.981684
22	1	2	5	4	2.9120470283036113	-9.829989
23	2	3	6	5	2.0703620911545597	-10.369715
24	3	4	7	6	1.0694891011321055	-11.72682
25	4	5	8	7	0.8815891104006621	-12.267301
26	5	6	9	8	1.068388547888351	-11.725811
27	6	7	10	9	2.0695056942806813	-10.367671
28	7	8	11	10	2.907111764299381	-9.825647
29	8	9	12	11	2.7714102125411495	-9.897828
30	9	10	13	12	2.682274894111316	-9.945566
31	10	11	14	13	2.6482104503329973	-9.960696
32	11	12	15	14	2.633761042579966	-9.961538
33	12	13	16	15	2.626493359593518	-9.955836
34	13	14	17	16	2.6242529689533027	-9.952171
35	14	15	18	17	2.6211690388888003	-9.961873
36	15	16	19	18	2.6200860780431996	-9.987732
37	16	17	20	19	2.620067651179721	-10.016078
38	17	18	21	20	2.6190569278095372	-10.028352
39	18	19	22	21	2.6193945539041055	-10.016656
40	19	20	23	22	2.6207343087086863	-9.989012
41	20	21	24	23	2.62599346322623	-9.964196
42	1	2	6	5	0.7793834089313125	-10.449276
43	2	3	7	6	0.3690999828426656	-12.210593
44	3	4	8	7	0.3491984723565259	-12.872216
45	4	5	9	8	0.34925438268051706	-12.870605
46	5	6	10	9	0.36893177255946935	-12.206646
47	6	7	11	10	0.7774139579023167	-10.442741
48	7	8	12	11	1.200935977348215	-9.759757
49	8	9	13	12	1.148044252527214	-9.832791
50	9	10	14	13	1.0956362368151302	-9.893609
51	10	11	15	14	1.0750097730656727	-9.912553
52	11	12	16	15	1.0648850622700625	-9.914491
53	12	13	17	16	1.0601874386224748	-9.922
54	13	14	18	17	1.0580960944159374	-9.960506
55	14	15	19	18	1.0563836058369762	-10.0396
56	15	16	20	19	1.0553204891537906	-10.136629
57	16	17	21	20	1.0544470145847678	-10.205966
58	17	18	22	21	1.055264817201429	-10.206666
59	18	19	23	22	1.0557305788510647	-10.138804
60	19	20	24	23	1.0574269864604355	-10.043565
61	1	2	7	6	0.17382342694521596	-12.415128
62	2	3	8	7	0.19286622320697216	-12.744637
63	3	4	9	8	0.21549748135886454	-12.705906
64	4	5	10	9	0.19267291894473554	-12.738036
65	5	6	11	10	0.17343692395714394	-12.404205
66	6	7	12	11	0.36981592570848415	-10.480632
67	7	8	13	12	0.6107398538475575	-9.698217
68	8	9	14	13	0.5880813934719578	-9.760288
69	9	10	15	14	0.5584042698759405	-9.826051
70	10	11	16	15	0.5441354237771976	-9.854846
71	11	12	17	16	0.5375292987104116	-9.889101
72	12	13	18	17	0.5333614377531727	-9.971162
73	13	14	19	18	0.5322611943160152	-10.116983
74	14	15	20	19	0.5307821324986787	-10.299086
75	15	16	21	20	0.5300599056771748	-10.458144
76	16	17	22	21	0.5298238393972304	-10.523781
77	17	18	23	22	0.5305890607243681	-10.461018
78	18	19	24	23	0.5310563421229367	-10.30477
79	1	2	8	7	0.12172442564941717	-12.523318
80	2	3	9	8	0.14199009027659415	-12.417888
81	3	4	10	9	0.1419364588049779	-12.412313
82	4	5	11	10	0.12125851990616048	-12.505474
83	5	6	12	11	0.09652430243432568	-12.470604
84	6	7	13	12	0.20316899286568454	-10.492686
85	7	8	14	13	0.352131068902459	-9.633269
86	8	9	15	14	0.3428660404079163	-9.681613
87	9	10	16	15	0.32397228540510237	-9.762404
88	10	11	17	16	0.3142450526909648	-9.843324
89	11	12	18	17	0.30941625260118444	-9.981028
90	12	13	19	18	0.3066839517874411	-10.194479
91	13	14	20	19	0.3053973929971453	-10.450098
92	14	15	21	20	0.3045606977839017	-10.684544
93	15	16	22	21	0.3039822229611346	-10.826923
94	16	17	23	22	0.30391009536673136	-10.829612
95	17	18	24	23	0.3045178584148731	-10.69221
96	1	2	9	8	0.09880369021226673	-12.164433
97	2	3	10	9	0.10177167764493265	-12.131571
98	3	4	11	10	0.09860499904385082	-12.14669
99	4	5	12	11	0.0822611514226304	-12.274264
100	5	6	13	12	0.059854919653192784	-12.465747
101	6	7	14	13	0.12258267667402596	-10.483098
102	7	8	15	14	0.22033934929506577	-9.565234
103	8	9	16	15	0.21714729851134723	-9.620599
104	9	10	17	16	0.20491246023720017	-9.767958
105	10	11	18	17	0.19812703074125665	-9.974488
106	11	12	19	18	0.19470324266410927	-10.254545
107	12	13	20	19	0.19249031355828825	-10.566196
108	13	14	21	20	0.191549665511728	-10.842896
109	14	15	22	21	0.19091823401990013	-11.024777
110	15	16	23	22	0.19046924572098786	-11.088222
111	16	17	24	23	0.19077402420885256	-11.033897
112	1	2	10	9	0.07481486659027677	-11.904
113	2	3	11	10	0.07472699118239623	-11.891611
114	3	4	12	11	0.07134131560705212	-11.91893
115	4	5	13	12	0.05885076863358808	-12.060907
116	5	6	14	13	0.039885661437822406	-12.419409
117	6	7	15	14	0.07941512738702738	-10.460491
118	7	8	16	15	0.14676483797481124	-9.521095
119	8	9	17	16	0.1461727480298646	-9.647214
120	9	10	18	17	0.13773980758031812	-9.93388
121	10	11	19	18	0.1329344676001742	-10.283634
122	11	12	20	19	0.1302820905252421	-10.640512
123	12	13	21	20	0.12876892052040123	-10.934758
124	13	14	22	21	0.12798114738397756	-11.116807
125	14	15	23	22	0.12749883687490138	-11.192913
126	15	16	24	23	0.12737021362958448	-11.200582
127	1	2	11	10	0.05706670487114083	-11.690845
128	2	3	12	11	0.056195846831475986	-11.690105
129	3	4	13	12	0.05326770514994923	-11.720613
130	4	5	14	13	0.043653938952373975	-11.867787
131	5	6	15	14	0.027994605277244216	-12.35792
132	6	7	16	15	0.05411036936402998	-10.45815
133	7	8	17	16	0.10251972536348256	-9.573384
134	8	9	18	17	0.1029680652601981	-9.844625
135	9	10	19	18	0.09718622121547259	-10.268233
136	10	11	20	19	0.093638995642916	-10.668935
137	11	12	21	20	0.09151928062391686	-10.970495
138	12	13	22	21	0.0904130085394643	-11.13284
139	13	14	23	22	0.0897620456822939	-11.185505
140	14	15	24	23	0.08935537239980841	-11.199504
