    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   45   24        49   30        0.90412          8.138          8.577          -11.585          -11.393         0.22361E+00    0.24110E+00    1
   46   26        49   30        0.86086          9.251          9.691           -9.810          -10.281         0.22361E+00    0.23235E+00    1
   47   28        49   30        1.11413         11.743         11.107           -7.475           -8.616         0.22361E+00    0.22361E+00    0
   43   23        49   31        1.03479         10.955         11.578          -12.420          -11.708         0.22361E+00    0.23113E+00    1
   45   24        49   31        1.05971          7.554          8.045          -12.245          -11.715         0.22361E+00    0.24387E+00    1
   46   26        49   31        1.07581          8.301          8.840          -10.665          -10.746         0.22361E+00    0.24176E+00    1
   47   28        49   31        0.37794         10.113          9.924           -8.665           -9.256         0.22361E+00    0.22361E+00    0
   43   23        49   32        0.93283         10.658         11.197          -12.560          -11.980         0.22361E+00    0.22984E+00    1
   45   24        49   32        1.08479          6.973          7.447          -12.580          -12.052         0.22361E+00    0.24637E+00    1
   46   26        49   32        1.18215          7.408          7.975          -11.265          -11.212         0.22361E+00    0.24971E+00    1
   47   28        49   32        0.21434          8.609          8.702           -9.650           -9.866         0.22361E+00    0.22361E+00    0
   43   23        49   33        0.79912         10.296         10.716          -12.575          -12.244         0.22361E+00    0.22361E+00    0
   45   24        49   33        1.00578          6.461          6.857          -12.855          -12.374         0.22361E+00    0.24324E+00    1
   46   26        49   33        1.08535          6.712          7.179          -11.685          -11.645         0.22361E+00    0.24899E+00    1
   47   28        49   33        0.27247          7.524          7.627          -10.280          -10.422         0.22361E+00    0.22361E+00    0
   43   23        49   35        0.88040          9.410          9.834          -12.870          -12.686         0.22361E+00    0.22361E+00    0
   45   24        49   35        1.01191          5.589          5.939          -13.055          -12.907         0.22361E+00    0.24500E+00    1
   46   26        49   35        1.14528          5.597          6.030          -12.135          -12.344         0.22361E+00    0.25502E+00    1
   47   28        49   35        0.69905          5.934          6.177          -11.090          -11.308         0.22361E+00    0.23976E+00    1
   43   23        49   36        0.95402          8.879          9.314          -12.915          -12.884         0.22361E+00    0.22386E+00    1
   45   24        49   36        1.07318          5.150          5.499          -13.140          -13.149         0.22361E+00    0.24720E+00    1
   46   26        49   36        1.20217          5.074          5.498          -12.260          -12.661         0.22361E+00    0.25819E+00    1
   47   28        49   36        0.88107          5.252          5.542          -11.305          -11.711         0.22361E+00    0.24683E+00    1
   43   23        49   37        1.14610          8.327          8.839          -12.630          -13.063         0.22361E+00    0.22826E+00    1
   45   24        49   37        1.22973          4.733          5.116          -13.055          -13.370         0.22361E+00    0.25146E+00    1
   46   26        49   37        1.35576          4.590          5.041          -12.225          -12.954         0.22361E+00    0.26305E+00    1
   47   28        49   37        1.15625          4.648          5.011          -11.390          -12.085         0.22361E+00    0.25518E+00    1
   43   23        49   38        1.28213          7.851          8.409          -12.500          -13.225         0.22361E+00    0.23155E+00    1
   45   24        49   38        1.33424          4.390          4.787          -13.085          -13.573         0.22361E+00    0.25471E+00    1
   46   26        49   38        1.44240          4.199          4.653          -12.355          -13.225         0.22361E+00    0.26661E+00    1
   47   28        49   38        1.32331          4.174          4.569          -11.460          -12.433         0.22361E+00    0.26135E+00    1
   43   23        49   39        1.22139          7.451          7.959          -13.010          -13.414         0.22361E+00    0.23230E+00    1
   45   24        49   39        1.24210          4.113          4.461          -13.350          -13.808         0.22361E+00    0.25567E+00    1
   46   26        49   39        1.32173          3.886          4.272          -12.590          -13.538         0.22361E+00    0.26776E+00    1
   47   28        49   39        1.22882          3.802          4.143          -11.890          -12.832         0.22361E+00    0.26432E+00    1
   45   24        49   41        1.82532          3.347          3.828          -13.020          -14.385         0.22361E+00    0.27145E+00    1
   45   24        49   42        1.93650          2.708          3.167          -13.520          -15.234         0.22361E+00    0.28463E+00    1
   46   26        49   42        2.40808          2.251          2.806          -13.550          -15.442         0.22361E+00    0.30231E+00    1
   47   28        49   42        2.62496          2.006          2.574          -13.200          -15.251         0.22361E+00    0.30825E+00    1
   43   23        50   26        0.91459         18.541         19.444           -9.950           -9.247         0.22361E+00    0.22803E+00    1
   45   24        50   26        0.18907         19.966         19.778           -8.560           -8.726         0.22361E+00    0.22361E+00    0
   43   23        50   28        1.19945         13.138         14.120          -11.010          -10.606         0.22361E+00    0.24507E+00    1
   45   24        50   28        0.89590         11.838         12.483           -9.980          -10.329         0.22361E+00    0.24332E+00    1
   46   26        50   28        1.23120         14.410         15.325           -7.840           -8.798         0.22361E+00    0.22361E+00    0
   43   23        50   29        0.77981         13.003         13.540          -11.100          -11.035         0.22361E+00    0.22783E+00    1
   45   24        50   29        0.52635         10.957         11.267          -10.660          -10.861         0.22361E+00    0.23016E+00    1
   46   26        50   29        0.33663         12.702         12.917           -8.545           -9.585         0.22361E+00    0.22361E+00    0
   43   23        50   30        0.82091         13.408         13.978          -11.845          -11.306         0.22361E+00    0.22528E+00    1
   45   24        50   30        0.71821         10.680         11.102          -11.335          -11.206         0.22361E+00    0.23228E+00    1
   46   26        50   30        0.68026         12.186         12.607           -9.530          -10.100         0.22361E+00    0.22361E+00    0
   47   28        50   30        1.35554         15.230         14.232           -7.215           -8.430         0.22361E+00    0.22361E+00    0
   43   23        50   31        0.81172         13.537         14.097          -11.810          -11.540         0.22361E+00    0.22361E+00    0
   45   24        50   31        0.85341         10.211         10.698          -11.975          -11.502         0.22361E+00    0.23382E+00    1
   46   26        50   31        0.89078         11.465         12.022          -10.350          -10.527         0.22361E+00    0.23068E+00    1
   47   28        50   31        0.71329         14.309         13.808           -8.380           -9.001         0.22361E+00    0.22361E+00    0
   43   23        50   32        0.73154         13.406         13.905          -12.370          -11.795         0.22361E+00    0.22361E+00    0
   45   24        50   32        0.85194          9.637         10.102          -12.250          -11.815         0.22361E+00    0.23521E+00    1
   46   26        50   32        0.96931         10.623         11.221          -10.835          -10.955         0.22361E+00    0.23779E+00    1
   47   28        50   32        0.23060         13.015         12.866           -9.120           -9.543         0.22361E+00    0.22361E+00    0
   43   23        50   33        0.61099         13.125         13.532          -12.225          -12.041         0.22361E+00    0.22361E+00    0
   45   24        50   33        0.73693          9.076          9.437          -12.405          -12.113         0.22361E+00    0.22981E+00    1
   46   26        50   33        0.82303          9.908         10.367          -11.135          -11.351         0.22361E+00    0.23454E+00    1
   47   28        50   33        0.27699         11.956         11.792           -9.695          -10.035         0.22361E+00    0.22361E+00    0
   43   23        50   35        0.50031         12.402         12.716          -12.360          -12.453         0.22361E+00    0.22361E+00    0
   45   24        50   35        0.67486          8.020          8.308          -12.555          -12.604         0.22361E+00    0.22870E+00    1
   46   26        50   35        0.81588          8.578          8.983          -11.410          -11.988         0.22361E+00    0.23783E+00    1
   47   28        50   35        0.05708         10.033         10.061          -10.160          -10.816         0.22361E+00    0.22361E+00    0
   43   23        50   36        0.61805         11.770         12.139          -11.865          -12.635         0.22361E+00    0.22361E+00    0
   45   24        50   36        0.71453          7.434          7.720          -12.670          -12.824         0.22361E+00    0.22977E+00    1
   46   26        50   36        0.83956          7.867          8.256          -11.445          -12.273         0.22361E+00    0.23963E+00    1
   47   28        50   36        0.21014          9.049          9.144          -10.305          -11.165         0.22361E+00    0.22361E+00    0
   43   23        50   37        0.76659         11.156         11.592          -12.220          -12.798         0.22361E+00    0.22361E+00    0
   45   24        50   37        0.87354          6.861          7.196          -12.520          -13.025         0.22361E+00    0.23367E+00    1
   46   26        50   37        0.98700          7.176          7.610          -11.305          -12.535         0.22361E+00    0.24388E+00    1
   47   28        50   37        0.53971          8.117          8.338          -10.140          -11.488         0.22361E+00    0.22361E+00    0
   43   23        50   38        0.92726         10.577         11.079          -12.130          -12.946         0.22361E+00    0.22361E+00    0
   45   24        50   38        0.98393          6.377          6.738          -12.535          -13.208         0.22361E+00    0.23657E+00    1
   46   26        50   38        1.05141          6.607          7.043          -11.345          -12.776         0.22361E+00    0.24657E+00    1
   47   28        50   38        0.69049          7.363          7.634          -10.210          -11.787         0.22361E+00    0.22890E+00    1
   43   23        50   39        0.82504         10.095         10.520          -12.455          -13.120         0.22361E+00    0.22361E+00    0
   45   24        50   39        0.82534          5.995          6.277          -12.510          -13.423         0.22361E+00    0.23610E+00    1
   46   26        50   39        0.86472          6.141          6.471          -11.545          -13.059         0.22361E+00    0.24607E+00    1
   47   28        50   39        0.48864          6.751          6.927          -10.360          -12.137         0.22361E+00    0.22967E+00    1
   45   24        50   42        1.49189          3.960          4.405          -12.240          -14.764         0.22361E+00    0.26723E+00    1
   43   23        52   26        0.91070         19.928         20.879           -9.855           -9.183         0.22361E+00    0.22615E+00    1
   45   24        52   26        0.22736         21.966         21.718           -8.470           -8.674         0.22361E+00    0.22361E+00    0
   43   23        52   28        1.12535         15.283         16.309          -10.630          -10.448         0.22361E+00    0.24030E+00    1
   45   24        52   28        0.77699         14.828         15.490           -9.585          -10.167         0.22361E+00    0.23713E+00    1
   46   26        52   28        1.13913         16.659         17.635           -7.650           -8.702         0.22361E+00    0.22361E+00    0
   43   23        52   29        0.51549         15.881         16.295          -10.545          -10.833         0.22361E+00    0.22361E+00    0
   45   24        52   29        0.32963         14.665         14.909          -10.290          -10.644         0.22361E+00    0.22361E+00    0
   46   26        52   29        0.17883         15.918         16.060           -8.260           -9.421         0.22361E+00    0.22361E+00    0
   43   23        52   30        0.64785         17.020         17.581          -11.030          -11.075         0.22361E+00    0.22361E+00    0
   45   24        52   30        0.51964         15.257         15.659          -10.720          -10.951         0.22361E+00    0.22361E+00    0
