        1365
     1           2      6      1      5       0.13747E+02 -0.16400E+02  0.77460E-02  0.18100E+00
     2           2      6      4      8       0.46392E+01 -0.17100E+02  0.17870E-01  0.36330E+01
     3           3      7      1      5       0.44147E+01 -0.14300E+02  0.39939E-01  0.85600E+00
     4           3      7     46     50       0.11260E-01 -0.94000E+01  0.11400E-03  0.98900E+00
     5           3      7     47     51       0.10740E-01 -0.11300E+02  0.00000E+00  0.33880E+01
     6           8      4      1      5       0.38788E+01 -0.22500E+02  0.28050E-02  0.68100E+00
     7          10      6      1      5       0.72344E+01 -0.16900E+02  0.16561E-01  0.50000E-02
     8          11      7      1      5       0.41702E+01 -0.13400E+02  0.69280E-02  0.36000E-01
     9          11      7      2      6       0.11174E+02 -0.18800E+02  0.24622E-01  0.13690E+01
    10           7     11     47     51       0.21560E-01 -0.11300E+02  0.11000E-04  0.16950E+01
    11          12      8      1      5       0.24583E+01 -0.13100E+02  0.19010E-02  0.14000E-01
    12          12      8      2      6       0.50833E+01 -0.18500E+02  0.35760E-02  0.58400E+00
    13          13      9      1      5       0.11064E+01 -0.12500E+02  0.37170E-02  0.69000E-01
    14          13      9      2      6       0.20817E+01 -0.17200E+02  0.45590E-02  0.91600E+00
    15          14     10      1      5       0.38470E+00 -0.15500E+02  0.99300E-03  0.98200E+00
    16          14     10      2      6       0.65528E+00 -0.19500E+02  0.20400E-03  0.91400E+00
    17          15     11      1      5       0.22594E+00 -0.16100E+02  0.22500E-03  0.10260E+01
    18          15     11      2      6       0.35394E+00 -0.19500E+02  0.58500E-03  0.10170E+01
    19          16     12      1      5       0.15029E+00 -0.14300E+02  0.23100E-03  0.54000E+00
    20          16     12      2      6       0.21778E+00 -0.17400E+02  0.53800E-03  0.16690E+01
    21          17     13      1      5       0.14532E+00 -0.14900E+02  0.23100E-03  0.18070E+01
    22          17     13      2      6       0.20187E+00 -0.17100E+02  0.31800E-03  0.11170E+01
    23          17     13     46     50       0.75500E-02 -0.38100E+02  0.68000E-04  0.11720E+01
    24          18     14      1      5       0.13812E+00 -0.14100E+02  0.26900E-03  0.10960E+01
    25          18     14      2      6       0.18779E+00 -0.16700E+02  0.33400E-03  0.61800E+00
    26          19     15      1      5       0.11952E+00 -0.13600E+02  0.10600E-03  0.18090E+01
    27          19     15      2      6       0.15948E+00 -0.16100E+02  0.12900E-03  0.33100E+00
    28          19     15     46     50       0.11300E-01 -0.23600E+02  0.10000E-04  0.23230E+01
    29          19     15     47     51       0.92500E-02 -0.33200E+02  0.11600E-03  0.31320E+01
    30          20     16      1      5       0.98000E-01 -0.14100E+02  0.11600E-03  0.27340E+01
    31          20     16      2      6       0.12912E+00 -0.16000E+02  0.30000E-03  0.92000E+00
    32          21     17      1      5       0.78140E-01 -0.13300E+02  0.16000E-03  0.15630E+01
    33          21     17      2      6       0.10154E+00 -0.15200E+02  0.11200E-03  0.89800E+00
    34          22     18      1      5       0.59940E-01 -0.14700E+02  0.19300E-03  0.46400E+00
