        1365
   1   2   6   1   5  0.14472271E+02      0.000000      0.9920E+02
   2   2   6   4   8  0.33071257E+01      0.000000      0.9973E+02
   3   3   7   1   5  0.33024583E+01      0.000000      0.9959E+02
   4   3   7  46  50  0.26272323E-01      0.000000      0.9982E+02
   5   3   7  47  51  0.27348075E-01      0.000000      0.9982E+02
   6   8   4   1   5  0.47183761E+01      0.000000      0.9962E+02
   7  10   6   1   5  0.70303583E+01      0.000000      0.9940E+02
   8  11   7   1   5  0.26495364E+01      0.000000      0.9990E+02
   9  11   7   2   6  0.70165409E+01      0.000000      0.9920E+02
  10   7  11  47  51  0.19836303E-01      0.000000      0.9984E+02
  11  12   8   1   5  0.13779497E+01      0.000000      0.1000E+03
  12  12   8   2   6  0.26468461E+01      0.000000      0.9980E+02
  13  13   9   1   5  0.82910913E+00      0.000000      0.1001E+03
  14  13   9   2   6  0.13778404E+01      0.000000      0.1000E+03
  15  14  10   1   5  0.54400131E+00      0.000000      0.1001E+03
  16  14  10   2   6  0.82942402E+00      0.000000      0.1001E+03
  17  15  11   1   5  0.37811064E+00      0.000000      0.9991E+02
  18  15  11   2   6  0.54347847E+00      0.000000      0.9997E+02
  19  16  12   1   5  0.27466119E+00      0.000000      0.9984E+02
  20  16  12   2   6  0.37807593E+00      0.000000      0.9991E+02
  21  17  13   1   5  0.20627897E+00      0.000000      0.9979E+02
  22  17  13   2   6  0.27455439E+00      0.000000      0.9982E+02
  23  17  13  46  50  0.18249022E-02   3141.592654      0.1006E+03
  24  18  14   1   5  0.15914238E+00      0.000000      0.9977E+02
  25  18  14   2   6  0.20620215E+00      0.000000      0.9977E+02
  26  19  15   1   5  0.12545588E+00      0.000000      0.9976E+02
  27  19  15   2   6  0.15901588E+00      0.000000      0.9972E+02
  28  19  15  46  50  0.12201502E-02      0.000000      0.9904E+02
  29  19  15  47  51  0.18974978E-03   3141.592654      0.1048E+03
  30  20  16   1   5  0.10076542E+00      0.000000      0.9981E+02
  31  20  16   2   6  0.12541207E+00      0.000000      0.9976E+02
  32  21  17   1   5  0.82150507E-01      0.000000      0.9982E+02
  33  21  17   2   6  0.10067845E+00      0.000000      0.9976E+02
  34  22  18   1   5  0.67896063E-01      0.000000      0.9989E+02
  35  22  18   2   6  0.82121625E-01      0.000000      0.9984E+02
  36  23  19   1   5  0.56732361E-01      0.000000      0.9993E+02
  37  24  20   1   5  0.47869509E-01      0.000000      0.9995E+02
  38  26  22   1   5  0.34935111E-01      0.000000      0.9997E+02
  39  27  23   1   5  0.30163377E-01      0.000000      0.9999E+02
  40  27  23   2   6  0.34874623E-01      0.000000      0.9997E+02
  41  28  24   2   6  0.30096765E-01      0.000000      0.9998E+02
  42  32  28   2   6  0.17584849E-01      0.000000      0.9998E+02
  43  46  50  48  52  0.33078800E+01      0.000000      0.9975E+02
  44  46  50  47  51  0.14425140E+02      0.000000      0.9887E+02
  45  47  51   1   5  0.27331852E-01      0.000000      0.9983E+02
  46  48  52  47  51  0.14441544E+02      0.000000      0.9899E+02
  47  49  53   1   5  0.24587872E-01      0.000000      0.9982E+02
  48  53  49  46  50  0.47178674E+01      0.000000      0.9961E+02
  49  50  54  48  52  0.33100632E+01      0.000000      0.9982E+02
  50  51  55   2   6  0.22405599E-01      0.000000      0.9980E+02
  51  55  51  46  50  0.69965727E+01      0.000000      0.9892E+02
  52  51  55  49  53  0.33118486E+01      0.000000      0.9987E+02
  53  56  52  46  50  0.26482908E+01      0.000000      0.9985E+02
  54  56  52  47  51  0.69797873E+01      0.000000      0.9868E+02
  55  57  53  46  50  0.13781986E+01      0.000000      0.1000E+03
  56  57  53  47  51  0.26487838E+01      0.000000      0.9987E+02
  57  58  54  46  50  0.82879123E+00      0.000000      0.1000E+03
  58  58  54  47  51  0.13779104E+01      0.000000      0.1000E+03
  59  59  55  46  50  0.54349540E+00      0.000000      0.9997E+02
  60  59  55  47  51  0.82880396E+00      0.000000      0.1000E+03
  61  60  56  46  50  0.37792210E+00      0.000000      0.9986E+02
  62  60  56  47  51  0.54340530E+00      0.000000      0.9996E+02
  63  61  57  46  50  0.27454549E+00      0.000000      0.9980E+02
  64  61  57  47  51  0.37802450E+00      0.000000      0.9989E+02
  65  62  58  46  50  0.20616363E+00      0.000000      0.9973E+02
  66  62  58  47  51  0.27446624E+00      0.000000      0.9978E+02
  67  63  59  46  50  0.15905043E+00      0.000000      0.9972E+02
  68  63  59  47  51  0.20611358E+00      0.000000      0.9973E+02
  69  64  60  46  50  0.12546714E+00      0.000000      0.9977E+02
  70  64  60  47  51  0.15906178E+00      0.000000      0.9975E+02
  71  65  61   2   6  0.11789992E-02      0.000000      0.9835E+02
  72  65  61  46  50  0.10076411E+00      0.000000      0.9981E+02
  73  65  61  47  51  0.12542972E+00      0.000000      0.9977E+02
  74  66  62  46  50  0.82190321E-01      0.000000      0.9987E+02
  75  66  62  47  51  0.10074760E+00      0.000000      0.9983E+02
  76  67  63   2   6  0.31687202E-02      0.000000      0.9934E+02
  77  67  63  46  50  0.67897296E-01      0.000000      0.9989E+02
  78  67  63  47  51  0.82135423E-01      0.000000      0.9986E+02
  79  68  64  47  51  0.67850064E-01      0.000000      0.9990E+02
  80  69  65   1   5  0.46933966E-02      0.000000      0.9959E+02
  81  71  67   2   6  0.48543287E-02      0.000000      0.9957E+02
  82  71  67  47  51  0.40683554E-01      0.000000      0.9997E+02
  83  73  69  47  51  0.30097558E-01      0.000000      0.9998E+02
  84  77  73  47  51  0.17586395E-01      0.000000      0.9999E+02
  85   9   5   2   6  0.46935330E+01      0.000000      0.9910E+02
  86   5   9   3   7  0.33148133E+01      0.000000      0.9996E+02
  87   4   8   3   7  0.14460602E+02      0.000000      0.9912E+02
  88   4   8  48  52  0.27365405E-01      0.000000      0.9981E+02
  89  10   6   3   7  0.46784506E+01      0.000000      0.9878E+02
  90   6  10  48  52  0.24629337E-01      0.000000      0.9981E+02
  91   6  10  49  53  0.26327375E-01      0.000000      0.9978E+02
  92  12   8   3   7  0.69959027E+01      0.000000      0.9891E+02
  93   8  12  48  52  0.19860811E-01      0.000000      0.9984E+02
  94   8  12  49  53  0.22453193E-01      0.000000      0.9979E+02
  95  13   9   3   7  0.26496741E+01      0.000000      0.9991E+02
  96  13   9   4   8  0.70070535E+01      0.000000      0.9907E+02
  97   9  13  49  53  0.19884521E-01      0.000000      0.9982E+02
  98  14  10   3   7  0.13795519E+01      0.000000      0.1002E+03
  99  14  10   4   8  0.26524735E+01      0.000000      0.1000E+03
 100  15  11   3   7  0.82864659E+00      0.000000      0.1000E+03
 101  15  11   4   8  0.13761775E+01      0.000000      0.9991E+02
 102  16  12   3   7  0.54364223E+00      0.000000      0.1000E+03
 103  16  12   4   8  0.82850245E+00      0.000000      0.1000E+03
 104  17  13   3   7  0.37802320E+00      0.000000      0.9990E+02
 105  17  13   4   8  0.54328683E+00      0.000000      0.9995E+02
 106  18  14   3   7  0.27453114E+00      0.000000      0.9982E+02
 107  18  14   4   8  0.37786875E+00      0.000000      0.9987E+02
 108  19  15   3   7  0.20607797E+00      0.000000      0.9973E+02
 109  19  15   4   8  0.27426481E+00      0.000000      0.9974E+02
 110  19  15  49  53  0.38705122E-02   3141.592654      0.1000E+03
