    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   45   24        49   30        0.71413          5.973          5.763           -2.959           -2.814         0.22361E+00    0.22361E+00    0
   46   26        49   30        0.58576          6.932          7.139           -2.741           -2.680         0.22361E+00    0.22426E+00    1
   47   28        49   30        0.01626         10.162         10.170           -2.693           -2.545         0.22361E+00    0.22361E+00    0
   43   23        49   31        0.95136          6.639          6.963           -2.973           -2.889         0.22361E+00    0.22361E+00    0
   45   24        49   31        1.12961          5.126          4.845           -3.052           -2.864         0.22361E+00    0.22361E+00    0
   46   26        49   31        0.67882          5.493          5.717           -2.946           -2.736         0.22361E+00    0.24239E+00    1
   47   28        49   31        0.21092          7.569          7.490           -2.808           -2.613         0.22361E+00    0.22361E+00    0
   43   23        49   32        0.27355          6.265          6.351           -3.150           -2.933         0.22361E+00    0.22361E+00    0
   45   24        49   32        0.94903          3.947          4.172           -3.257           -2.913         0.22361E+00    0.24176E+00    1
   46   26        49   32        0.45417          4.584          4.719           -2.944           -2.791         0.22361E+00    0.25274E+00    1
   47   28        49   32        0.52570          5.568          5.763           -2.834           -2.680         0.22361E+00    0.25563E+00    1
   43   23        49   33        0.68211          5.638          5.834           -3.338           -2.979         0.22361E+00    0.22361E+00    0
   45   24        49   33        0.86472          3.459          3.639           -3.417           -2.963         0.22361E+00    0.24221E+00    1
   46   26        49   33        0.19862          4.008          3.959           -3.218           -2.847         0.22361E+00    0.24863E+00    1
   47   28        49   33        1.19840          4.139          4.555           -2.995           -2.750         0.22361E+00    0.28269E+00    1
   43   23        49   35        0.27257          4.938          5.006           -3.642           -3.067         0.22361E+00    0.22361E+00    0
   45   24        49   35        1.54486          2.514          2.881           -3.684           -3.060         0.22361E+00    0.29707E+00    1
   46   26        49   35        0.62380          2.823          2.953           -3.451           -2.955         0.22361E+00    0.26964E+00    1
   47   28        49   35        0.99955          2.858          3.133           -3.406           -2.883         0.22361E+00    0.30321E+00    1
   43   23        49   36        1.23024          4.317          4.665           -3.886           -3.112         0.22361E+00    0.25107E+00    1
   45   24        49   36        0.45241          2.531          2.604           -3.853           -3.109         0.22361E+00    0.24974E+00    1
   46   26        49   36        0.17884          2.640          2.608           -3.602           -3.010         0.22361E+00    0.26501E+00    1
   47   28        49   36        0.52339          2.579          2.693           -3.549           -2.950         0.22361E+00    0.28762E+00    1
   43   23        49   37        1.35142          3.957          4.366           -3.891           -3.157         0.22361E+00    0.26977E+00    1
   45   24        49   37        0.46452          2.301          2.371           -4.028           -3.159         0.22361E+00    0.25479E+00    1
   46   26        49   37        1.36766          2.010          2.326           -3.836           -3.067         0.22361E+00    0.32652E+00    1
   47   28        49   37        1.49191          1.923          2.353           -3.883           -3.018         0.22361E+00    0.36767E+00    1
   43   23        49   38        0.19831          4.046          4.089           -4.068           -3.206         0.22361E+00    0.23187E+00    1
   45   24        49   38        0.83228          2.047          2.171           -4.221           -3.212         0.22361E+00    0.26569E+00    1
   46   26        49   38        1.02122          1.898          2.090           -3.956           -3.126         0.22361E+00    0.30787E+00    1
   47   28        49   38        1.17213          1.800          2.082           -4.079           -3.087         0.22361E+00    0.35263E+00    1
   43   23        49   39        1.63229          3.308          3.866           -4.082           -3.252         0.22361E+00    0.30901E+00    1
   45   24        49   39        0.29222          1.972          2.012           -4.709           -3.263         0.22361E+00    0.26171E+00    1
   46   26        49   39        0.80997          1.771          1.907           -4.206           -3.183         0.22361E+00    0.30161E+00    1
   47   28        49   39        1.54679          1.478          1.876           -4.254           -3.153         0.22361E+00    0.39293E+00    1
   45   24        49   41        0.50037          1.727          1.792           -4.856           -3.349         0.22361E+00    0.27084E+00    1
   45   24        49   42        0.66779          1.411          1.498           -5.366           -3.499         0.22361E+00    0.29850E+00    1
   46   26        49   42        0.59443          1.227          1.309           -5.301           -3.459         0.22361E+00    0.32939E+00    1
   47   28        49   42        1.57164          0.902          1.227           -5.504           -3.471         0.22361E+00    0.44206E+00    1
   43   23        50   26        0.84820         14.169         14.783           -2.567           -2.660         0.22361E+00    0.22361E+00    0
   45   24        50   26        0.63392         15.667         15.178           -2.625           -2.611         0.22361E+00    0.22361E+00    0
   43   23        50   28        0.45992         11.578         11.315           -2.652           -2.741         0.22361E+00    0.22361E+00    0
   45   24        50   28        0.29902         10.273         10.428           -2.622           -2.703         0.22361E+00    0.22361E+00    0
   46   26        50   28        0.06092         13.920         13.878           -2.602           -2.559         0.22361E+00    0.22361E+00    0
   43   23        50   29        1.29995          9.379         10.009           -2.702           -2.780         0.22361E+00    0.22361E+00    0
   45   24        50   29        0.80180          8.329          8.670           -2.700           -2.746         0.22361E+00    0.22361E+00    0
   46   26        50   29        0.51350         10.876         11.159           -2.663           -2.608         0.22361E+00    0.22361E+00    0
   43   23        50   30        0.27866          9.182          9.055           -2.760           -2.821         0.22361E+00    0.22361E+00    0
   45   24        50   30        0.19210          7.285          7.355           -2.719           -2.791         0.22361E+00    0.22361E+00    0
   46   26        50   30        0.28519          9.037          9.167           -2.653           -2.658         0.22361E+00    0.22361E+00    0
   47   28        50   30        0.13084         12.991         12.906           -2.581           -2.521         0.22361E+00    0.22361E+00    0
   43   23        50   31        1.35523          7.702          8.265           -2.963           -2.863         0.22361E+00    0.22823E+00    1
   45   24        50   31        1.25594          5.887          6.310           -2.860           -2.836         0.22361E+00    0.23508E+00    1
   46   26        50   31        0.39449          7.450          7.610           -2.626           -2.706         0.22361E+00    0.23240E+00    1
   47   28        50   31        1.66420          9.193         10.199           -2.619           -2.574         0.22361E+00    0.24978E+00    1
   43   23        50   32        1.38466          7.048          7.643           -3.068           -2.904         0.22361E+00    0.24190E+00    1
   45   24        50   32        0.52545          5.653          5.506           -2.971           -2.880         0.22361E+00    0.22361E+00    0
   46   26        50   32        0.59037          6.207          6.438           -2.825           -2.753         0.22361E+00    0.24871E+00    1
   47   28        50   32        1.32404          7.507          8.213           -2.675           -2.625         0.22361E+00    0.26054E+00    1
   43   23        50   33        0.22218          7.015          7.094           -3.184           -2.947         0.22361E+00    0.22361E+00    0
   45   24        50   33        1.58782          4.264          4.838           -3.115           -2.927         0.22361E+00    0.28181E+00    1
   46   26        50   33        0.07173          5.461          5.484           -2.899           -2.802         0.22361E+00    0.24502E+00    1
   47   28        50   33        0.02532          6.651          6.661           -2.920           -2.678         0.22361E+00    0.24736E+00    1
   43   23        50   35        1.07127          6.495          6.156           -3.452           -3.032         0.22361E+00    0.22361E+00    0
   45   24        50   35        1.66580          3.288          3.836           -3.366           -3.018         0.22361E+00    0.30409E+00    1
   46   26        50   35        0.17947          4.070          4.118           -3.307           -2.900         0.22361E+00    0.25692E+00    1
   47   28        50   35        0.02907          4.620          4.611           -2.927           -2.782         0.22361E+00    0.26383E+00    1
   43   23        50   36        0.71675          5.542          5.748           -3.513           -3.076         0.22361E+00    0.22575E+00    1
   45   24        50   36        1.09940          3.194          3.453           -3.569           -3.067         0.22361E+00    0.26648E+00    1
   46   26        50   36        0.71200          3.786          3.619           -3.188           -2.952         0.22361E+00    0.25127E+00    1
   47   28        50   36        0.35628          4.019          3.918           -3.091           -2.839         0.22361E+00    0.26675E+00    1
   43   23        50   37        0.65933          5.195          5.381           -3.689           -3.122         0.22361E+00    0.23058E+00    1
   45   24        50   37        0.66631          3.245          3.128           -3.640           -3.117         0.22361E+00    0.23488E+00    1
   46   26        50   37        0.66539          3.048          3.202           -3.446           -3.007         0.22361E+00    0.27267E+00    1
   47   28        50   37        1.15056          2.994          3.361           -3.299           -2.899         0.22361E+00    0.31737E+00    1
   43   23        50   38        1.13139          4.646          5.031           -3.892           -3.172         0.22361E+00    0.26515E+00    1
   45   24        50   38        1.15690          2.582          2.843           -3.915           -3.171         0.22361E+00    0.28836E+00    1
   46   26        50   38        0.27335          2.788          2.845           -3.717           -3.066         0.22361E+00    0.27327E+00    1
   47   28        50   38        1.20656          2.538          2.903           -3.523           -2.965         0.22361E+00    0.33352E+00    1
   43   23        50   39        0.92931          4.457          4.747           -4.094           -3.221         0.22361E+00    0.26044E+00    1
   45   24        50   39        0.39932          2.547          2.616           -3.960           -3.225         0.22361E+00    0.25829E+00    1
   46   26        50   39        0.37204          2.490          2.563           -3.933           -3.127         0.22361E+00    0.27888E+00    1
   47   28        50   39        0.44762          2.452          2.548           -3.783           -3.033         0.22361E+00    0.29435E+00    1
