    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   45   24        49   30        1.05447          8.138          8.638          -11.585          -10.931         0.22361E+00    0.23769E+00    1
   46   26        49   30        0.76504          9.251          9.642           -9.810           -9.986         0.22361E+00    0.23251E+00    1
   47   28        49   30        0.89042         11.743         11.232           -7.475           -8.567         0.22361E+00    0.22361E+00    0
   43   23        49   31        1.24350         10.955         11.658          -12.420          -11.249         0.22361E+00    0.22361E+00    0
   45   24        49   31        1.21018          7.554          8.129          -12.245          -11.137         0.22361E+00    0.24615E+00    1
   46   26        49   31        0.94150          8.301          8.802          -10.665          -10.318         0.22361E+00    0.24959E+00    1
   47   28        49   31        0.15506         10.113         10.035           -8.665           -9.036         0.22361E+00    0.22361E+00    0
   43   23        49   32        1.20563         10.658         11.336          -12.560          -11.419         0.22361E+00    0.22615E+00    1
   45   24        49   32        1.26762          6.973          7.565          -12.580          -11.345         0.22361E+00    0.25369E+00    1
   46   26        49   32        1.05675          7.408          7.972          -11.265          -10.640         0.22361E+00    0.26349E+00    1
   47   28        49   32        0.49430          8.609          8.834           -9.650           -9.473         0.22361E+00    0.22816E+00    1
   43   23        49   33        1.14649         10.296         10.904          -12.575          -11.578         0.22361E+00    0.22361E+00    0
   45   24        49   33        1.26093          6.461          6.998          -12.855          -11.537         0.22361E+00    0.25172E+00    1
   46   26        49   33        1.00483          6.712          7.199          -11.685          -10.928         0.22361E+00    0.26399E+00    1
   47   28        49   33        0.56996          7.524          7.767          -10.280           -9.858         0.22361E+00    0.23649E+00    1
   43   23        49   35        1.36769          9.410         10.096          -12.870          -11.836         0.22361E+00    0.22680E+00    1
   45   24        49   35        1.34593          5.589          6.115          -13.055          -11.838         0.22361E+00    0.25847E+00    1
   46   26        49   35        1.13607          5.597          6.098          -12.135          -11.364         0.22361E+00    0.27473E+00    1
