338
1	1	4	9	6      1.8196	 -5.4663     0.00910	   1.2632
2	1	4	15	12     0.0810	 -3.0457     0.00044	   0.8946
3	1	4	27	24     0.0097	 -2.6168     0.00010	   0.8712
4	1	4	30	27     0.0061	 -9.2970     0.00008	   2.6678
5	1	4	36	33     0.0039	 -13.7602    0.00006	   5.5741
6	1	4	10	7      0.7397	 -3.3655     0.00232	   0.9202
7	1	4	16	13     0.0564	 -2.8058     0.00036	   0.8800
8	1	4	29	26     0.0068	 -8.8391     0.00008	   2.4469
9	1	4	35	32     0.0037	 -8.5847     0.00006	   2.3304
10	2	5	10	7      1.7837	 -5.2845     0.00926	   1.2215
11	2	5	16	13     0.0699	 -2.2170     0.00040	   0.8608
12	2	5	19	16     0.0331	 -2.5369     0.00024	   0.8682
13	2	5	31	28     0.0061	 -8.2721     0.00008	   2.1934
14	2	5	37	34     0.0037	 -21.7343    0.00006	   14.1682
15	2	5	11	8      0.7483	 -3.9616     0.00245	   0.9868
16	2	5	17	14     0.0517	 -2.4787     0.00032	   0.8664
17	2	5	12	9      0.3777	 -2.3624     0.00120	   0.8633
18	2	5	15	12     0.1040	 -3.7653     0.00049	   0.9622
19	2	5	30	27     0.0066	 -9.9149     0.00008	   2.9887
20	3	6	11	8      2.2341	 -8.2794     0.01172	   2.1965
21	3	6	17	14     0.0680	 -1.6137     0.00039	   0.8658
22	3	6	23	20     0.0232	 -5.8006     0.00018	   1.3457
23	3	6	26	23     0.0151	 -4.5068     0.00014	   1.0690
24	3	6	32	29     0.0064	 -8.3448     0.00008	   2.2246
25	3	6	12	9      0.8208	 -4.0561     0.00276	   0.9996
26	3	6	30	27     0.0075	 -7.8214     0.00009	   2.0075
27	3	6	13	10     0.3988	 -2.6096     0.00128	   0.8709
28	3	6	16	13     0.0959	 -3.6418     0.00047	   0.9480
29	3	6	31	28     0.0068	 -9.8785     0.00008	   2.9691
30	4	7	12	9      2.6493	 -8.5338     0.01383	   2.3076
31	4	7	15	12     0.2342	 -5.1682     0.00083	   1.1961
32	4	7	24	21     0.0232	 -4.2596     0.00018	   1.0292
33	4	7	27	24     0.0133	 -10.6854    0.00013	   3.4254
34	4	7	13	10     0.8829	 -5.0011     0.00300	   1.1611
35	4	7	16	13     0.1351	 -5.8733     0.00057	   1.3646
36	4	7	14	11     0.3911	 -3.3219     0.00128	   0.9163
37	4	7	17	14     0.0908	 -1.6864     0.00045	   0.8639
38	4	7	20	17     0.0442	 -2.2316     0.00029	   0.8610
39	4	7	32	29     0.0069	 -8.7591     0.00009	   2.4098
40	4	7	38	35     0.0040	 -9.4642     0.00006	   2.7520
41	5	8	13	10     2.8918	 -7.8868     0.01533	   2.0336
42	5	8	16	13     0.2268	 -7.5379     0.00082	   1.8978
43	5	8	14	11     0.9376	 -5.3209     0.00316	   1.2297
44	5	8	17	14     0.1376	 -3.7290     0.00058	   0.9579
45	5	8	15	12     0.4582	 -4.3032     0.00144	   1.0359
46	5	8	21	18     0.0483	 -1.6791     0.00031	   0.8640
47	5	8	24	21     0.0281	 -5.8515     0.00021	   1.3589
48	5	8	27	24     0.0156	 -6.4476     0.00014	   1.5271
49	5	8	30	27     0.0095	 -7.6688     0.00011	   1.9478
50	6	9	14	11     3.2988	 -10.6345    0.01743	   3.3953
51	6	9	17	14     0.2454	 -5.9169     0.00087	   1.3762
52	6	9	26	23     0.0239	 -13.8547    0.00018	   5.6504
53	6	9	32	29     0.0092	 -4.0197     0.00011	   0.9946
54	6	9	15	12     1.2172	 -7.6034     0.00396	   1.9226
55	6	9	18	15     0.1314	 -4.2669     0.00056	   1.0303
56	6	9	21	18     0.0637	 -2.4278     0.00037	   0.8649
57	6	9	24	21     0.0351	 -3.7581     0.00024	   0.9613
58	6	9	27	24     0.0191	 -5.5172     0.00016	   1.2752
